sigma,Task,Model,Optimal_Alpha,Best_Performance
15,ORB,TV,0.5,0.1870817308469365
15,SIFT,TV,0.4,0.067884158808738
15,Canny,TV,0.2,0.9099546543228936
15,KLT,TV,0.1,0.16777635963802195
15,ORB,NLM,0.9,0.1824914487078786
15,SIFT,NLM,1.0,0.062278635489443936
15,Canny,NLM,0.2,0.9148555772672897
15,KLT,NLM,0.2,0.15825330109264732
15,ORB,BM3D,0.6,0.18818739359267056
15,SIFT,BM3D,1.0,0.05171154711085061
15,Canny,BM3D,0.4,0.9217088605202179
15,KLT,BM3D,0.3,0.16394338476796497
15,ORB,DRUNet,0.1,0.1856732447631657
15,SIFT,DRUNet,1.0,0.04743858810979873
15,Canny,DRUNet,0.7,0.9366386680682318
15,KLT,DRUNet,0.4,0.15970479827141246
25,ORB,TV,0.8,0.2189432364733269
25,SIFT,TV,0.8,0.12697325965079168
25,Canny,TV,0.5,0.846945480440532
25,KLT,TV,0.4,0.25212031819426145
25,ORB,NLM,1.0,0.21604184961567321
25,SIFT,NLM,0.9,0.10027620491261284
25,Canny,NLM,0.4,0.8576538616097981
25,KLT,NLM,0.3,0.2530799861460199
25,ORB,BM3D,1.0,0.19986428072055182
25,SIFT,BM3D,1.0,0.1053310528708001
25,Canny,BM3D,0.5,0.8733813591760459
25,KLT,BM3D,1.0,0.2527080700465613
25,ORB,DRUNet,0.5,0.22224005311727524
25,SIFT,DRUNet,0.9,0.06771481378624837
25,Canny,DRUNet,0.7,0.9065644621520877
25,KLT,DRUNet,0.5,0.22090585975737698
50,ORB,TV,0.0,0.46081578452140093
50,SIFT,TV,0.7,0.3178556505590677
50,Canny,TV,1.0,0.6753321842485951
50,KLT,TV,0.3,0.7835792083260964
50,ORB,NLM,0.9,0.419186866376549
50,SIFT,NLM,0.6,0.3253417319307725
50,Canny,NLM,0.6,0.7109554367635681
50,KLT,NLM,1.0,0.7601331613583847
50,ORB,BM3D,0.9,0.4231645410570006
50,SIFT,BM3D,1.0,0.2734699777017037
50,Canny,BM3D,0.7,0.7468579758409515
50,KLT,BM3D,1.0,0.6292342715910654
50,ORB,DRUNet,0.9,0.3040649862959981
50,SIFT,DRUNet,1.0,0.16811699777220687
50,Canny,DRUNet,0.7,0.8164762908282417
50,KLT,DRUNet,0.9,0.40989726855918146
