Task,Model,Optimal_Alpha,Best_Performance
ORB,TV,0.0,0.19605540204793215
ORB,NLM,0.0,0.19605540204793215
ORB,BM3D,0.0,0.19605540204793215
ORB,DRUNet,0.0,0.19605540204793215
SIFT,TV,0.0,0.067582100907043
SIFT,NLM,0.8,0.06330731723964042
SIFT,BM3D,0.0,0.067582100907043
SIFT,DRUNet,0.0,0.067582100907043
Canny,TV,0.3,0.8284950449017097
Canny,NLM,0.8,0.8047882477789084
Canny,BM3D,0.1,0.8073549137550401
Canny,DRUNet,0.7,0.8056422744998339
KLT,TV,0.3,0.2512821425765287
KLT,NLM,0.9,0.30905734163039594
KLT,BM3D,1.0,0.3076164893514942
KLT,DRUNet,0.0,0.3097229655447882
