task,strategy,Total,Failures,Successes,Failure_Rate,Success_Rate
Canny,Joint,100,0,100,0.0,100.0
Canny,Model-only,100,0,100,0.0,100.0
Canny,Noisy,100,0,100,0.0,100.0
Canny,PSNR-oriented,100,0,100,0.0,100.0
Canny,Strength-only,100,0,100,0.0,100.0
KLT,Joint,100,0,100,0.0,100.0
KLT,Model-only,100,0,100,0.0,100.0
KLT,Noisy,100,0,100,0.0,100.0
KLT,PSNR-oriented,100,0,100,0.0,100.0
KLT,Strength-only,100,0,100,0.0,100.0
ORB,Joint,100,2,98,2.0,98.0
ORB,Model-only,100,2,98,2.0,98.0
ORB,Noisy,100,2,98,2.0,98.0
ORB,PSNR-oriented,100,5,95,5.0,95.0
ORB,Strength-only,100,2,98,2.0,98.0
SIFT,Joint,100,4,96,4.0,96.0
SIFT,Model-only,100,3,97,3.0,97.0
SIFT,Noisy,100,3,97,3.0,97.0
SIFT,PSNR-oriented,100,4,96,4.0,96.0
SIFT,Strength-only,100,3,97,3.0,97.0
