Task,Comparison,Valid_Replicates,LOO_Point_Difference,Bootstrap_OOB_Mean,CI_2.5,CI_97.5,Interpretation
ORB,Joint - Noisy,10000,0.0,0.07548633412352779,0.0,0.1758468969782993,Not clear
ORB,Joint - PSNR-oriented,10000,-4.295179978664964,-3.6703750666664035,-8.65175223121741,-0.11828562408871193,Joint better
ORB,Joint - Model-only,10000,-0.021659595742821693,0.04117803310529936,-0.10759503625648706,0.08978670652607063,Not clear
ORB,Joint - Strength-only,10000,0.0,0.06946216262438742,0.0,0.1705333058704208,Not clear
SIFT,Joint - Noisy,10000,1.003500351140392,0.6747633868876619,-0.00827998814156088,3.117777749365006,Not clear
SIFT,Joint - PSNR-oriented,10000,-0.12700783735432197,-0.08965267572806397,-2.9230091343759907,2.455066764609572,Not clear
SIFT,Joint - Model-only,10000,0.999938695858582,0.672012677929798,-0.0035029269029940076,3.115097485469992,Not clear
SIFT,Joint - Strength-only,10000,1.0000216051732422,0.6726298633400642,-0.008820210554930019,3.1167967863821877,Not clear
Canny,Joint - Noisy,10000,0.015433186746899632,0.021310770457162714,0.005663469876463332,0.0343738072245069,Joint better
Canny,Joint - PSNR-oriented,10000,0.0038319670129851238,0.005722014809554113,-0.013275229044625516,0.020824313061369892,Not clear
Canny,Joint - Model-only,10000,0.012784010430092786,0.018728471216140182,0.0032204210815482692,0.03181115448444646,Joint better
Canny,Joint - Strength-only,10000,0.014616108799513026,0.020622518164470655,0.005140141281438371,0.03378859953073268,Joint better
KLT,Joint - Noisy,10000,0.12080082892440264,0.05350975106995713,-0.10241399895937832,0.2983740473024351,Not clear
KLT,Joint - PSNR-oriented,10000,0.16678896422905384,0.0980830741467938,-0.02110561990021128,0.24714696075786252,Not clear
KLT,Joint - Model-only,10000,0.036079410875972856,0.013711413276314892,-0.131392067255999,0.20856587597405785,Not clear
KLT,Joint - Strength-only,10000,0.12080082892440264,0.05015808193312071,-0.11282095461423088,0.2982534558381523,Not clear
