Task,Strategy,Selected_Model,Selected_Alpha,Count,Frequency
Canny,Joint,TV,0.4,4395,0.4395
Canny,Joint,TV,0.3,3466,0.3466
Canny,Joint,TV,0.2,2134,0.2134
Canny,Joint,TV,0.1,5,0.0005
Canny,Model-only,BM3D,1.0,9797,0.9797
Canny,Model-only,DRUNet,1.0,174,0.0174
Canny,Model-only,NLM,1.0,29,0.0029
Canny,Noisy,DRUNet,0.0,10000,1.0
Canny,PSNR-oriented,TV,0.5,6716,0.6716
Canny,PSNR-oriented,TV,0.4,3284,0.3284
Canny,Strength-only,DRUNet,0.7,4504,0.4504
Canny,Strength-only,DRUNet,1.0,3217,0.3217
Canny,Strength-only,DRUNet,0.9,1230,0.123
Canny,Strength-only,DRUNet,0.0,742,0.0742
Canny,Strength-only,DRUNet,0.1,217,0.0217
Canny,Strength-only,DRUNet,0.8,78,0.0078
Canny,Strength-only,DRUNet,0.3,9,0.0009
Canny,Strength-only,DRUNet,0.2,3,0.0003
KLT,Joint,TV,1.0,2725,0.2725
KLT,Joint,TV,0.3,2586,0.2586
KLT,Joint,TV,0.9,1269,0.1269
KLT,Joint,TV,0.4,875,0.0875
KLT,Joint,TV,0.1,676,0.0676
KLT,Joint,TV,0.5,569,0.0569
KLT,Joint,TV,0.6,457,0.0457
KLT,Joint,TV,0.2,230,0.023
KLT,Joint,TV,0.8,133,0.0133
KLT,Joint,BM3D,1.0,112,0.0112
KLT,Joint,BM3D,0.9,87,0.0087
KLT,Joint,BM3D,0.4,57,0.0057
KLT,Joint,NLM,1.0,46,0.0046
KLT,Joint,BM3D,0.5,42,0.0042
KLT,Joint,BM3D,0.8,27,0.0027
KLT,Joint,NLM,0.9,25,0.0025
KLT,Joint,BM3D,0.0,24,0.0024
KLT,Joint,DRUNet,1.0,15,0.0015
KLT,Joint,BM3D,0.2,11,0.0011
KLT,Joint,NLM,0.5,10,0.001
KLT,Joint,BM3D,0.1,9,0.0009
KLT,Joint,BM3D,0.7,6,0.0006
KLT,Joint,NLM,0.4,6,0.0006
KLT,Joint,BM3D,0.6,1,0.0001
KLT,Joint,DRUNet,0.9,1,0.0001
KLT,Joint,NLM,0.8,1,0.0001
KLT,Model-only,TV,1.0,5614,0.5614
KLT,Model-only,BM3D,1.0,2969,0.2969
KLT,Model-only,NLM,1.0,1370,0.137
KLT,Model-only,DRUNet,1.0,47,0.0047
KLT,Noisy,DRUNet,0.0,10000,1.0
KLT,PSNR-oriented,TV,0.5,6716,0.6716
KLT,PSNR-oriented,TV,0.4,3284,0.3284
KLT,Strength-only,DRUNet,0.0,9011,0.9011
KLT,Strength-only,DRUNet,1.0,888,0.0888
KLT,Strength-only,DRUNet,0.9,78,0.0078
KLT,Strength-only,DRUNet,0.8,12,0.0012
KLT,Strength-only,DRUNet,0.5,5,0.0005
KLT,Strength-only,DRUNet,0.1,3,0.0003
KLT,Strength-only,DRUNet,0.3,3,0.0003
ORB,Joint,BM3D,0.0,8004,0.8004
ORB,Joint,NLM,1.0,727,0.0727
ORB,Joint,DRUNet,0.1,391,0.0391
ORB,Joint,DRUNet,0.8,229,0.0229
ORB,Joint,TV,0.1,223,0.0223
ORB,Joint,DRUNet,0.5,64,0.0064
ORB,Joint,BM3D,0.2,56,0.0056
